"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,";"buzzardLabel";11;"";;;
2;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
3;"R7";"0402R";1;"330R";;;
4;"JP2,JP1";"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";2;"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";;;
5;"D3,D1";"0402LED";2;"purple";;;
6;"U2";"SOIC-14";1;"ATTINY404-SSNR";;;
7;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
8;"R3";"0603R";1;"330R";;;
9;"U1";"PC357_OPTO";1;"PC357_OPTO";;;
10;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
11;"U3";"tps613222a";1;"TPS613222A";;;
12;"K4";"HEADER-UPDI";1;"HEADER-UPDI";;;
13;"G***";"Symbol-Front-Relay";1;"LOGO";;;
14;"H1,H2,H3,H4";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
15;"L1";"0806L";1;"DFE201612E-2R2M=P2";;;
16;"K5,K2";"easyC-connector";2;"easyC-SMD";;;
17;"R1";"0603R";1;"100R";;;
18;"D2";"M4_DIODA";1;"M4_DIODA";;;
19;"C4";"0603C";1;"C1608X7S1A475K080AC";;;
20;"R6,R5";"0603R";2;"10k";;;
21;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
22;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
23;"R4";"0603R";1;"10R";;;
24;"C2,C3";"0603C";2;"CL10A226MPCNUBE";;;
25;"R2";"0402R";1;"1k";;;
26;"K1";"SRD_RELAY_5V";1;"SRD_RELAY_5V";;;
27;"K6";"DSHP03TS-S";1;"DSHP03TS-S";;;
28;"C1";"0603C";1;"0.1uF";;;
29;"Q1";"SOT-23-3";1;"NPN-SOT-23-3";;;
30;"K3";"TERMINAL_KF235-5.0-3P";1;"TERMINAL_KF235-5.0-3P";;;
31;"";"Version1.0.0.";1;"";;;
