"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,";"buzzardLabel";12;"";;;
2;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
3;"R3";"0603R";1;"330R";;;
4;"U1";"PC357_OPTO";1;"PC357_OPTO";;;
5;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
6;"U3";"tps613222a";1;"TPS613222A";;;
7;"K4";"HEADER-UPDI";1;"HEADER-UPDI";;;
8;"G***";"Symbol-Front-Relay";1;"LOGO";;;
9;"H1,H2,H3,H4";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
10;"L1";"0806L";1;"DFE201612E-2R2M=P2";;;
11;"K5,K2";"easyC-connector";2;"easyC-SMD";;;
12;"JP2,JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";2;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
13;"R1";"0603R";1;"100R";;;
14;"D2";"M4_DIODA";1;"M4_DIODA";;;
15;"C4";"0603C";1;"C1608X7S1A475K080AC";;;
16;"R6,R5";"0603R";2;"10k";;;
17;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
18;"D3";"0402LED";1;"purple";;;
19;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
20;"R4";"0603R";1;"10R";;;
21;"C2,C3";"0603C";2;"CL10A226MPCNUBE";;;
22;"R2,R7";"0402R";2;"2k2";;;
23;"K1";"SRD_RELAY_5V";1;"SRD_RELAY_5V";;;
24;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
25;"K6";"DSHP03TS-S";1;"DSHP03TS-S";;;
26;"D1";"0402LED";1;"blue";;;
27;"C1";"0603C";1;"0.1uF";;;
28;"Q1";"SOT-23-3";1;"NPN-SOT-23-3";;;
29;"K3";"TERMINAL_KF235-5.0-3P";1;"TERMINAL_KF235-5.0-3P";;;
30;"U2";"SOIC-14";1;"ATTINY404-SSNR";;;
31;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
32;"REF**";"Symbol-Front_I2C_ADDR_CUSTOM";1;"Symbol-Front_I2C_ADDR_CUSTOM";;;
